STATION;DATE;LATITUDE;LONGITUDE;ELEVATION;NAME;TEMP;TEMP_ATTRIBUTES;DEWP;DEWP_ATTRIBUTES;SLP;SLP_ATTRIBUTES;STP;STP_ATTRIBUTES;VISIB;VISIB_ATTRIBUTES;WDSP;WDSP_ATTRIBUTES;MXSPD;GUST;MAX;MAX_ATTRIBUTES;MIN;MIN_ATTRIBUTES;PRCP;PRCP_ATTRIBUTES;SNDP;FRSHTT
26063099999;01.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;35,9;24;34,7;24;9999,9;0;999,9;0;4,9;24;9,1;24;13,6;999,9;37,4; ;32,9; ;0;F;999,9;10000
26063099999;02.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;36,8;24;34,9;24;9999,9;0;999,9;0;5,8;24;10,5;24;17,5;33;39,2;*;35,1; ;0,31;F;0,4;10000
26063099999;03.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;34,2;24;31,4;24;9999,9;0;999,9;0;3,5;24;12,3;24;21,4;29,1;37,6;*;32;*;0,35;F;0,4;11000
26063099999;04.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;24,9;24;22;24;9999,9;0;999,9;0;4,9;24;12,1;24;15,5;19,4;31,6;*;17,6;*;0,09;F;1,2;1000
26063099999;05.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;17,1;24;10,8;24;9999,9;0;999,9;0;5;24;10;24;13,6;21,4;19,4;*;14;*;0,05;F;2;1000
26063099999;06.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;12,3;24;9,3;24;9999,9;0;999,9;0;6,2;14;8,3;24;13,6;999,9;15,8;*;8,6;*;0;F;2,4;0
26063099999;07.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;14,8;24;9,5;24;9999,9;0;999,9;0;4,9;10;4,6;24;11,7;15,5;18,5;*;7,7; ;0;F;2,4;1000
26063099999;08.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;18,1;24;15,1;24;9999,9;0;999,9;0;3,4;21;5,7;24;9,7;999,9;26,6;*;12,2;*;0,08;F;999,9;1000
26063099999;09.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;32,2;24;30,9;24;9999,9;0;999,9;0;4,4;24;5,7;24;13,6;17,5;34,2; ;21,2; ;0,2;F;3,1;11000
26063099999;10.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;30;24;29;24;9999,9;0;999,9;0;5,1;24;4,6;24;11,7;999,9;32;*;28,4;*;0,09;F;2,8;1000
26063099999;11.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;29,5;24;28,9;24;9999,9;0;999,9;0;2;24;11,6;24;19,4;23,3;30,7; ;28,2; ;0,24;F;4,3;1000
26063099999;12.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;19,2;24;17,3;24;9999,9;0;999,9;0;5,1;24;6,9;24;15,5;999,9;30,2;*;12,2;*;0,06;F;6,3;1000
26063099999;13.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;28,1;24;25,6;24;9999,9;0;999,9;0;4,7;24;11,2;24;23,3;35;36,1; ;11,8; ;0,31;F;8,3;11000
26063099999;14.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;33,7;24;31;24;9999,9;0;999,9;0;5,6;22;8,6;24;21,4;27,2;37,4;*;26,6; ;0,14;F;7,1;11000
26063099999;15.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;34;24;31;24;9999,9;0;999,9;0;6,2;24;6,3;24;11,7;999,9;35,8; ;30,2;*;0;F;6,3;10000
26063099999;16.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;33,7;24;31;24;9999,9;0;999,9;0;5,5;24;10;24;17,5;29,1;37,9;*;30,2;*;0,08;F;5,1;11000
26063099999;17.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;36;24;32,6;24;9999,9;0;999,9;0;5,6;24;7;24;13,6;23,3;38,1; ;33,8;*;0,12;F;5,1;11000
26063099999;18.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;35,1;24;32,6;24;9999,9;0;999,9;0;6,1;24;8,8;24;15,5;23,3;37,4;*;33,8; ;0,16;F;3,1;11000
26063099999;19.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;30,6;24;28,5;24;9999,9;0;999,9;0;5,1;24;7;24;9,7;999,9;34,3;*;21,2;*;0,05;F;3,1;11000
26063099999;20.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;13,4;24;8,2;24;9999,9;0;999,9;0;6,2;6;6,6;24;13,6;999,9;23,2; ;5;*;0;F;2,8;0
26063099999;21.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;5;24;0,6;24;9999,9;0;999,9;0;999,9;0;6,2;24;9,7;999,9;16,9; ;-0,4;*;0;F;2,4;0
26063099999;22.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;9,5;24;4,7;24;9999,9;0;999,9;0;5,2;12;7,8;24;11,7;999,9;15,8;*;1,4;*;0,01;F;2,8;1000
26063099999;23.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;22,7;24;20,9;24;9999,9;0;999,9;0;3,6;24;4,7;24;7,8;999,9;28; ;14; ;0,05;F;3,1;1000
26063099999;24.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;26,6;24;24,1;24;9999,9;0;999,9;0;5,5;24;5,2;24;11,7;999,9;30,9; ;21,2;*;0,13;F;999,9;1000
26063099999;25.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;26,2;24;23,7;24;9999,9;0;999,9;0;3,7;24;3,9;24;7,8;999,9;28,6;*;24,8;*;0,04;F;4,7;1000
26063099999;26.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;26,2;24;25,1;24;9999,9;0;999,9;0;3,7;24;2,8;24;5,8;999,9;29,5; ;23;*;0,03;F;5,1;1000
26063099999;27.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;24,7;24;22,9;24;9999,9;0;999,9;0;6,1;24;6,1;24;11,7;17,5;28,4; ;23;*;0;F;3,5;1000
26063099999;28.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;28,1;24;25,2;24;9999,9;0;999,9;0;5,8;24;6,5;24;9,7;19,4;30,6; ;26,6; ;0,01;F;3,5;1000
26063099999;29.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;30,3;24;26,3;24;9999,9;0;999,9;0;6,1;24;8,5;24;11,7;999,9;33,1;*;28,4;*;0;F;3,9;1000
26063099999;30.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;32,2;24;30;24;9999,9;0;999,9;0;5,2;24;7,4;24;9,7;999,9;34,7; ;30,2;*;0,05;F;3,9;11000
26063099999;31.01.2015;59,800292;30,262503;24,07;PULKOVO, RS;32,9;24;30,9;24;9999,9;0;999,9;0;5,9;24;13,1;24;15,5;999,9;35,6;*;32;*;0;F;3,1;11000
26063099999;01.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;34,2;24;32,1;24;9999,9;0;999,9;0;4,7;24;11,1;24;17,5;27,2;36; ;32;*;0,31;F;3,1;11000
26063099999;02.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;32,3;24;30;24;9999,9;0;999,9;0;4,9;24;7,9;24;13,6;15,5;34,2; ;30,2;*;0,08;F;3,1;1000
26063099999;03.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;28,3;24;26;24;9999,9;0;999,9;0;4,5;18;5,4;24;9,7;999,9;32,4; ;24,8;*;0,01;F;3,1;1000
26063099999;04.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;24,7;24;22,4;24;9999,9;0;999,9;0;4;21;4,4;24;7,8;999,9;30,6; ;17,6;*;0;F;3,1;0
26063099999;05.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;23,6;24;19,8;24;9999,9;0;999,9;0;5,4;24;4,5;24;9,7;15,5;28,4;*;19,4;*;0;F;3,1;0
26063099999;06.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;27,6;24;24;24;9999,9;0;999,9;0;4,4;19;10,2;24;15,5;21,4;33,8;*;19,4;*;0,08;F;3,1;1000
26063099999;07.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;30,1;24;29;24;9999,9;0;999,9;0;3,8;24;5,3;24;11,7;13,6;34,2; ;23;*;0,17;F;4,3;11000
26063099999;08.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;25;24;22,2;24;9999,9;0;999,9;0;5,4;22;13,5;24;19,4;27,2;32;*;17,6;*;0,41;F;0,4;1000
26063099999;09.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;14;24;9,2;24;9999,9;0;999,9;0;6,2;6;5,3;24;15,5;999,9;21,2;*;6,8;*;0;F;999,9;0
26063099999;10.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;31,7;24;28,8;24;9999,9;0;999,9;0;6,2;19;7,9;24;13,6;17,5;37,4;*;17,1; ;0,02;F;7,5;1000
26063099999;11.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;36,6;24;30,5;24;9999,9;0;999,9;0;999,9;0;7,9;24;13,6;999,9;41;*;29,5; ;0;F;6,7;0
26063099999;12.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;33,3;24;29,6;24;9999,9;0;999,9;0;6,2;23;10,9;24;17,5;23,3;35,6;*;31,6; ;0,03;F;6,7;11000
26063099999;13.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;33,6;24;30,3;24;9999,9;0;999,9;0;6,1;24;4,5;24;7,8;999,9;35,6;*;27,5; ;0,02;F;999,9;11000
26063099999;14.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;30,8;24;28,2;24;9999,9;0;999,9;0;5,1;24;6,1;24;15,5;999,9;32,7;*;30,2;*;0,01;F;5,9;11000
26063099999;15.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;22,2;24;14,1;24;9999,9;0;999,9;0;6,2;15;8,7;24;19,4;25,3;30,2;*;6,8;*;0,01;F;6,7;1000
26063099999;16.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;14,2;24;5,4;24;9999,9;0;999,9;0;999,9;0;2,5;24;9,7;999,9;25,5; ;3,2;*;0;F;999,9;0
26063099999;17.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;23,1;24;0,7;24;9999,9;0;999,9;0;999,9;0;6,8;24;15,5;19,4;30,2;*;14;*;0;F;6,7;0
26063099999;18.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;28,1;24;23,4;24;9999,9;0;999,9;0;3,7;13;9,8;24;15,5;25,3;35,6;*;21,2;*;0,04;F;999,9;11000
26063099999;19.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;32,7;24;30,7;24;9999,9;0;999,9;0;5,9;19;5,9;24;9,7;13,6;37,4;*;21,2;*;0,02;F;7,5;11000
26063099999;20.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;35,8;24;33,7;24;9999,9;0;999,9;0;4,9;24;10;24;19,4;21,4;37,4;*;33,8;*;0,06;F;999,9;10000
26063099999;21.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;34,9;24;31,6;24;9999,9;0;999,9;0;4,9;19;9,1;24;13,6;25,3;37,4; ;33,6; ;0,08;F;4,3;10000
26063099999;22.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;36;24;29,8;24;9999,9;0;999,9;0;6,2;14;9,9;24;23,3;33;40,1; ;32;*;0;F;3,1;0
26063099999;23.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;35,9;24;29,3;24;9999,9;0;999,9;0;6,2;23;6,9;24;11,7;19,4;39,4; ;33,8;*;0;F;3,1;0
26063099999;24.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;36,4;24;34;24;9999,9;0;999,9;0;5,6;24;7,3;24;11,7;999,9;38,1; ;34,9; ;0,04;F;2,4;10000
26063099999;25.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;36,4;24;35,9;24;9999,9;0;999,9;0;2,3;24;2;24;3,9;999,9;40,5;*;35,6;*;0,01;F;1,2;110000
26063099999;26.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;34,6;24;33,9;24;9999,9;0;999,9;0;0,4;24;2,7;24;5,8;999,9;36,5;*;32;*;0;F;0,4;100000
26063099999;27.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;33,7;24;33;24;9999,9;0;999,9;0;1,9;24;3,5;24;7,8;999,9;35,6;*;31,6;*;0;F;0,8;100000
26063099999;28.02.2015;59,800292;30,262503;24,07;PULKOVO, RS;32,8;24;31,3;24;9999,9;0;999,9;0;3;24;4;24;7,8;999,9;34,5;*;31,6; ;0;F;0,4;11000
26063099999;01.03.2015;59,800292;30,262503;24,07;PULKOVO, RS;34,4;24;30,4;24;9999,9;0;999,9;0;6;24;7,3;24;9,7;999,9;39; ;32;*;0,01;F;999,9;0
26063099999;02.03.2015;59,800292;30,262503;24,07;PULKOVO, RS;34,9;24;31,8;24;9999,9;0;999,9;0;6,2;24;10,3;24;15,5;17,5;38,5; ;32;*;0;F;999,9;10000
26063099999;03.03.2015;59,800292;30,262503;24,07;PULKOVO, RS;36,5;24;33,7;24;9999,9;0;999,9;0;6,1;24;9,9;24;13,6;999,9;37,9;*;35,6;*;0,02;F;0,4;10000
26063099999;04.03.2015;59,800292;30,262503;24,07;PULKOVO, RS;35,7;24;31,5;24;9999,9;0;999,9;0;6,2;22;8,3;24;13,6;999,9;41;*;28,4;*;0;F;999,9;10000
26063099999;05.03.2015;59,800292;30,262503;24,07;PULKOVO, RS;32;24;27,8;24;9999,9;0;999,9;0;5;14;3,5;24;7,8;999,9;42,8;*;24,8;*;0;F;999,9;0
26063099999;06.03.2015;59,800292;30,262503;24,07;PULKOVO, RS;33,3;24;26,4;24;9999,9;0;999,9;0;5,1;14;5,6;24;13,6;15,5;41;*;23;*;0;F;999,9;110000
26063099999;07.03.2015;59,800292;30,262503;24,07;PULKOVO, RS;35,5;24;32,6;24;9999,9;0;999,9;0;5,9;24;6,6;24;11,7;17,5;39,2;*;32;*;0,02;F;999,9;11000
26063099999;08.03.2015;59,800292;30,262503;24,07;PULKOVO, RS;42,2;24;38,2;24;9999,9;0;999,9;0;5,6;24;8,7;24;15,5;23,3;46,4;*;36,1; ;0,01;F;999,9;10000
26063099999;09.03.2015;59,800292;30,262503;24,07;PULKOVO, RS;40;24;36,9;24;9999,9;0;999,9;0;5,2;22;8,4;24;11,7;999,9;45,1;*;32;*;0,16;F;999,9;110000
26063099999;10.03.2015;59,800292;30,262503;24,07;PULKOVO, RS;37;24;31,6;24;9999,9;0;999,9;0;6,2;11;6,8;24;11,7;15,5;45;*;28,4;*;0;F;999,9;11000
26063099999;11.03.2015;59,800292;30,262503;24,07;PULKOVO, RS;38,2;24;33,9;24;9999,9;0;999,9;0;5,7;20;7,7;24;11,7;15,5;41;*;33,8;*;0;F;999,9;10000
26063099999;12.03.2015;59,800292;30,262503;24,07;PULKOVO, RS;34,6;24;26,2;24;9999,9;0;999,9;0;6,2;6;5,7;24;9,7;999,9;44,2; ;24,8;*;0;F;999,9;0
26063099999;13.03.2015;59,800292;30,262503;24,07;PULKOVO, RS;33,1;24;22,1;24;9999,9;0;999,9;0;999,9;0;6,3;24;11,7;999,9;46,2; ;21,2;*;0;F;999,9;0
26063099999;14.03.2015;59,800292;30,262503;24,07;PULKOVO, RS;34,2;24;19,7;24;9999,9;0;999,9;0;999,9;0;5,1;24;7,8;999,9;50;*;21,2;*;0;F;999,9;0
26063099999;15.03.2015;59,800292;30,262503;24,07;PULKOVO, RS;35,4;24;19,8;24;9999,9;0;999,9;0;999,9;0;4,1;24;7,8;999,9;52,9; ;23;*;0;F;999,9;0
26063099999;16.03.2015;59,800292;30,262503;24,07;PULKOVO, RS;37,9;24;23,6;24;9999,9;0;999,9;0;999,9;0;4,2;24;7,8;999,9;54,7; ;23;*;0;F;999,9;0
26063099999;17.03.2015;59,800292;30,262503;24,07;PULKOVO, RS;41,6;24;19,8;24;9999,9;0;999,9;0;5,1;5;3;24;5,8;999,9;59,5; ;24,8;*;0;F;999,9;0
