"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","SEASON","TEMP","WDSP","DEWP","VISIB","MXSPD","GUST","MAX","MIN","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"26063099999","1/1/2015","59.800292","30.262503","24.07","PULKOVO, RS","Зима","35.9","9.1","34.7","4.9","13.6","999.9","37.4","32.9","0","F","999.9","10000"
"26063099999","1/2/2015","59.800292","30.262503","24.07","PULKOVO, RS","Зима","36.8","10.5","34.9","5.8","17.5","33","39.2","35.1","0.31","F","0.4","10000"
"26063099999","1/3/2015","59.800292","30.262503","24.07","PULKOVO, RS","Зима","34.2","12.3","31.4","3.5","21.4","29.1","37.6","32","0.35","F","0.4","11000"
"26063099999","1/4/2015","59.800292","30.262503","24.07","PULKOVO, RS","Зима","24.9","12.1","22","4.9","15.5","19.4","31.6","17.6","0.09","F","1.2","1000"
"26063099999","1/5/2015","59.800292","30.262503","24.07","PULKOVO, RS","Зима","17.1","10","10.8","5","13.6","21.4","19.4","14","0.05","F","2","1000"
"26063099999","1/6/2015","59.800292","30.262503","24.07","PULKOVO, RS","Зима","12.3","8.3","9.3","6.2","13.6","999.9","15.8","8.6","0","F","2.4","0"
"26063099999","1/7/2015","59.800292","30.262503","24.07","PULKOVO, RS","Зима","14.8","4.6","9.5","4.9","11.7","15.5","18.5","7.7","0","F","2.4","1000"
"26063099999","1/8/2015","59.800292","30.262503","24.07","PULKOVO, RS","Зима","18.1","5.7","15.1","3.4","9.7","999.9","26.6","12.2","0.08","F","999.9","1000"
"26063099999","1/9/2015","59.800292","30.262503","24.07","PULKOVO, RS","Зима","32.2","5.7","30.9","4.4","13.6","17.5","34.2","21.2","0.2","F","3.1","11000"
"26063099999","1/10/2015","59.800292","30.262503","24.07","PULKOVO, RS","Зима","30","4.6","29","5.1","11.7","999.9","32","28.4","0.09","F","2.8","1000"
"26063099999","1/11/2015","59.800292","30.262503","24.07","PULKOVO, RS","Зима","29.5","11.6","28.9","2","19.4","23.3","30.7","28.2","0.24","F","4.3","1000"
"26063099999","1/12/2015","59.800292","30.262503","24.07","PULKOVO, RS","Зима","19.2","6.9","17.3","5.1","15.5","999.9","30.2","12.2","0.06","F","6.3","1000"
"26063099999","1/13/2015","59.800292","30.262503","24.07","PULKOVO, RS","Зима","28.1","11.2","25.6","4.7","23.3","35","36.1","11.8","0.31","F","8.3","11000"
"26063099999","1/14/2015","59.800292","30.262503","24.07","PULKOVO, RS","Зима","33.7","8.6","31","5.6","21.4","27.2","37.4","26.6","0.14","F","7.1","11000"
"26063099999","1/15/2015","59.800292","30.262503","24.07","PULKOVO, RS","Зима","34","6.3","31","6.2","11.7","999.9","35.8","30.2","0","F","6.3","10000"
"26063099999","1/16/2015","59.800292","30.262503","24.07","PULKOVO, RS","Зима","33.7","10","31","5.5","17.5","29.1","37.9","30.2","0.08","F","5.1","11000"
"26063099999","1/17/2015","59.800292","30.262503","24.07","PULKOVO, RS","Зима","36","7","32.6","5.6","13.6","23.3","38.1","33.8","0.12","F","5.1","11000"
"26063099999","1/18/2015","59.800292","30.262503","24.07","PULKOVO, RS","Зима","35.1","8.8","32.6","6.1","15.5","23.3","37.4","33.8","0.16","F","3.1","11000"
