"STATION","LATITUDE","LONGITUDE","ELEVATION","NAME","DATE","SEASON","SLP","WDSP","TEMP","DEWP","STP","VISIB","MXSPD","GUST","MAX","MIN","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","3/9/2015","Весна","1013.6","27.7","19.9","14.8","989.5","4.3","33","50.5","21.7","16.5","0.12","E","999.9","1000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","3/30/2015","Весна","1012.3","13.1","36.9","9999.9","989.1","0.1","17.5","25.3","38.1","34.2","0.02","E","999.9","100000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","4/7/2015","Весна","1027.2","2.9","30","14.6","3.2","17.1","7.8","999.9","34.5","27.3","0","I","999.9","0"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","5/2/2015","Весна","1009.8","7.8","47.4","9999.9","987.1","1.6","13.6","23.3","48.9","44.8","99.99"," ","999.9","110000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","6/16/2015","Лето","1005.8","9.2","62.8","9999.9","983.9","9.4","9.7","999.9","77.2","53.1","0","I","999.9","100000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","6/17/2015","Лето","1009.8","13.9","53.8","53.5","987.4","1.9","15.5","21.4","59.5","50.7","0","I","999.9","100000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","6/18/2015","Лето","1013.1","4.6","56.6","55.1","990.8","9.3","7.8","999.9","58.5","53.2","0.01","E","999.9","110000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","6/19/2015","Лето","1010.7","8.7","60.1","56.8","988.5","9.4","13.6","999.9","70.5","52.2","0","I","999.9","100000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","6/20/2015","Лето","1010.2","10.2","56.6","55.2","988","3.2","13.6","999.9","64.2","53.8","0","I","999.9","100000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","6/21/2015","Лето","1009.1","12.8","57.2","9999.9","986.9","0.1","13.6","19.4","57.9","55.6","99.99"," ","999.9","110000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","6/22/2015","Лето","1011.3","17.7","56.1","9999.9","989.1","0.1","21.4","25.3","59.7","52.7","0.12","F","999.9","110000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","6/25/2015","Лето","1006","11.4","60.8","9999.9","984.1","2.4","13.6","19.4","64.8","58.8","0","I","999.9","100000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","7/1/2015","Лето","993.3","9.2","59","54.9","971.6","21.7","17.5","27.2","62.6","55.9","0.01","E","999.9","0"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","7/15/2015","Лето","1013.7","8.7","61.6","52.6","991.6","31.1","13.6","23.3","65.1","52.9","0","I","999.9","0"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","7/22/2015","Лето","1006.6","7.8","65.3","9999.9","984.8","7.9","13.6","999.9","68.9","63.1","99.99"," ","999.9","110000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","8/1/2015","Лето","1010.4","4.9","72.3","62.1","988.8","21.7","5.8","999.9","78.3","66.7","0","I","999.9","0"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","8/3/2015","Лето","1002.5","18.6","69.3","9999.9","981","0.1","21.4","29.1","69.4","68.9","0.31","F","999.9","100000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","8/4/2015","Лето","1001.2","10","69.8","9999.9","979.8","0.1","15.5","19.4","71.4","68.7","0.08","F","999.9","110000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","8/5/2015","Лето","1005.9","9","76.6","66.7","984.6","19.4","9.7","999.9","83.5","68.7","0","E","999.9","0"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","8/6/2015","Лето","1013","11.4","74.4","67","991.4","18.7","17.5","19.4","84.2","67.6","0","E","999.9","100000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","8/7/2015","Лето","1017","16","68","67.4","995.2","4","17.5","21.4","68.4","66.9","0","I","999.9","100000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","8/8/2015","Лето","1012.3","11.4","70.5","70.5","990.6","0.9","15.5","19.4","71.4","68.7","0.12","E","999.9","110000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","8/9/2015","Лето","1007.5","6.1","73.2","71.9","986.1","6.3","9.7","999.9","79","70.2","0.02","E","999.9","110010"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","8/10/2015","Лето","1007","5","72.4","70.2","985.5","8.9","9.7","999.9","78.4","68.4","0.16","E","999.9","110010"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","8/20/2015","Лето","1006.4","6.8","69.3","67.1","984.8","12.4","9.7","21.4","72.3","66.6","0.39","E","999.9","10000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","8/25/2015","Лето","1010.4","6.3","63.6","57","988.4","17.1","11.7","19.4","67.6","59","0","I","999.9","0"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","8/28/2015","Лето","1008.7","24.1","66.1","65","986.9","6.3","29.1","36.9","66.6","65.3","0.02","E","999.9","100000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","8/29/2015","Лето","1011","17.2","65.7","63.1","989.1","10.9","25.3","29.1","69.8","63.3","0.03","F","999.9","10000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","8/30/2015","Лето","1013.5","18.7","65.6","62.6","991.6","21.7","23.3","29.1","67.6","63.5","0.04","F","999.9","10000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","8/31/2015","Лето","1015.5","10","64.5","63","993.5","5.6","13.6","21.4","64.9","64","0.12","E","999.9","0"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","9/1/2015","Осень","1013","4.4","67.4","65.2","991.2","5.8","5.8","999.9","72","64.2","0","E","999.9","100000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","9/2/2015","Осень","1009.2","6.6","68.9","65.7","987.6","18.6","11.7","999.9","75.2","64","0.01","E","999.9","10000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","9/3/2015","Осень","1009.6","10.5","63.7","59.3","987.7","10.7","13.6","23.3","68.7","55.8","0.12","E","999.9","10000"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","9/4/2015","Осень","1012.8","9.5","61.9","48.9","990.7","24.1","13.6","999.9","69.8","54","0","E","999.9","0"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","9/5/2015","Осень","1013.8","5.3","60.7","47.1","991.6","21.7","7.8","999.9","66.7","52.2","0","I","999.9","0"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","9/6/2015","Осень","1012.6","4.9","62.2","50.9","990.5","19.4","7.8","999.9","69.8","56.1","0","I","999.9","0"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","9/7/2015","Осень","1015.4","6.1","65.1","54.7","993.4","19.4","11.7","999.9","72","55","0","I","999.9","0"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","9/8/2015","Осень","1021.2","8.7","64.4","55.7","999","24.1","15.5","999.9","72.5","57","0","I","999.9","0"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","9/9/2015","Осень","1018.7","6.1","63.1","54.8","996.6","21.7","11.7","999.9","69.8","55.6","0","E","999.9","0"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","9/10/2015","Осень","1011.3","19.2","58.9","52.2","989.2","21.7","27.2","999.9","63.9","53.4","0","E","999.9","0"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","9/11/2015","Осень","1007.1","15.5","58","48.2","985","24.1","19.4","27.2","63.1","51.6","0","I","999.9","0"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","9/12/2015","Осень","1008.7","5.3","59.9","46.7","986.6","24.1","7.8","999.9","65.7","53.4","0","I","999.9","0"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","9/13/2015","Осень","1016.4","4.2","59.8","47.1","994.1","23.1","5.8","999.9","64.8","53.2","0","I","999.9","0"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","9/14/2015","Осень","1023","9","62.8","59.7","0.8","21.7","11.7","999.9","66.9","54.5","0","I","999.9","0"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","9/15/2015","Осень","1021.7","7.5","64","61.4","999.5","11.7","11.7","999.9","68.4","60.4","0","I","999.9","0"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","9/16/2015","Осень","1019.8","4.1","64.5","60.6","997.6","17.1","5.8","999.9","72","61","0","I","999.9","0"
"31960099999","43.1166666","131.9333333","183","VLADIVOSTOK, RS","9/17/2015","Осень","1021","5.6","63.5","59.6","998.8","17.1","9.7","999.9","69.4","59.7","0","E","999.9","0"
